Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2024 10 09 02 08 00 000    0.35     5.68     0.50  -429.90    -24.90    -17.60    7.75    206975.0
 2024 10 09 02 09 00 000    0.25     5.70     0.30  -434.40    -19.40    -36.30    8.06    224825.0
 2024 10 09 02 10 00 000   -0.13     5.75     0.64  -434.40    -19.40    -36.30    8.06    224825.0
 2024 10 09 02 11 00 000   -1.29     5.97     0.43  -434.40    -19.40    -36.30    8.06    224825.0
 2024 10 09 02 12 00 000   -1.10     6.08     0.93  -434.40    -19.40    -36.30    8.06    224825.0
 2024 10 09 02 13 00 000   -2.20     5.87     1.05  -423.30    -21.20    -35.20    7.37    221885.0
 2024 10 09 02 14 00 000   -1.05     3.27    -1.79  -426.20    -20.50    -24.30    7.70    233616.0
 2024 10 09 02 15 00 000   -1.15     3.14    -2.22  -426.00    -21.50    -15.90    8.14    246059.0
 2024 10 09 02 16 00 000    0.34     4.87    -0.43  -431.50    -25.00    -29.20    7.63    219823.0
 2024 10 09 02 17 00 000    1.53     5.02     0.16  -453.70    -24.90    -40.90    7.46    209741.0
 2024 10 09 02 18 00 000   -1.05     5.14    -0.93  -451.70    -32.70    -38.00    7.05    209925.0
 2024 10 09 02 19 00 000   -3.88     3.81    -0.86  -425.00    -16.00    -27.60    6.82    196912.0
 2024 10 09 02 20 00 000   -4.57     3.71    -0.84  -400.30    -18.00    -25.20    8.02    245033.0
 2024 10 09 02 21 00 000    0.55     4.21    -4.42  -431.80    -18.60    -14.80    7.34    228306.0
 2024 10 09 02 22 00 000    1.69     5.42    -3.58  -433.70    -19.40    -15.60    7.15    222333.0
 2024 10 09 02 23 00 000   -1.48     3.82    -4.88  -433.50    -19.10    -14.70    6.45    210176.0
 2024 10 09 02 24 00 000   -2.67     2.91    -5.31  -422.60     -8.80    -10.30    6.34    227266.0
 2024 10 09 02 25 00 000   -3.25     3.04    -5.95  -420.90      0.00     -8.90    6.36    234333.0
 2024 10 09 02 26 00 000   -4.97     1.90    -6.06  -425.00     -5.50      0.50    6.05    215989.0
 2024 10 09 02 27 00 000   -5.40     1.68    -5.61  -410.60     -1.30    -14.50    5.91    134863.0
 2024 10 09 02 28 00 000   -4.29     1.88    -6.51  -413.40     -7.30     -7.00    6.31    195389.0
 2024 10 09 02 29 00 000   -1.81     1.96    -2.96  -417.00    -14.20      2.00    6.78    266903.0
 2024 10 09 02 30 00 000    0.39     2.87    -2.87  -436.60    -17.70     -6.00    8.27    317828.0
 2024 10 09 02 31 00 000    4.58     2.71    -1.35  -436.60    -17.70     -6.00    8.27    317828.0
 2024 10 09 02 32 00 000    4.91     2.84    -0.57  -465.80    -23.00    -23.00    7.22    236390.0
 2024 10 09 02 33 00 000    4.15     3.67    -1.62  -465.90    -23.00    -23.10    7.22    236101.0
 2024 10 09 02 34 00 000    3.94     4.76    -1.37  -465.90    -23.00    -23.10    7.22    236101.0
 2024 10 09 02 35 00 000   -1.93     0.82    -3.51  -417.70     52.80      6.20    6.99    319017.0
 2024 10 09 02 36 00 000   -0.85     2.03    -3.52  -431.80     18.10    -11.70    6.13    234327.0
 2024 10 09 02 37 00 000   -4.10    -0.90    -4.16  -434.80     -4.70    -20.60    6.64    223018.0
 2024 10 09 02 38 00 000   -3.50    -2.88    -2.99  -447.70    -16.80    -30.70    6.88    226098.0
 2024 10 09 02 39 00 000   -3.54    -1.31    -4.29  -447.70    -16.80    -30.70    6.88    226098.0
 2024 10 09 02 40 00 000   -3.38     1.32    -4.68  -447.70    -16.80    -30.70    6.88    226098.0
 2024 10 09 02 42 00 000   -2.68     2.47    -4.47  -447.70    -16.80    -30.70    6.88    226098.0
 2024 10 09 02 43 00 000   -2.76     1.99    -4.47  -429.30    -27.30    -18.50    6.62    267546.0
 2024 10 09 02 44 00 000   -3.55     1.74    -4.17  -429.30    -27.30    -18.50    6.62    267546.0
 2024 10 09 02 45 00 000   -4.25    -1.06    -3.91  -429.30    -27.30    -18.50    6.62    267546.0
 2024 10 09 02 46 00 000   -4.39     0.60    -4.58  -429.30    -27.30    -18.50    6.62    267546.0
 2024 10 09 02 47 00 000   -3.64     2.98    -4.51  -424.50     -0.70    -27.30    6.78    278437.0
 2024 10 09 02 48 00 000   -4.74    -2.99    -3.73  -425.00     13.60     -2.10    6.70    265816.0
 2024 10 09 02 49 00 000   -4.57    -2.78    -4.34  -424.20     27.60     11.70    6.61    245070.0
 2024 10 09 02 50 00 000   -4.41    -2.18    -4.68  -420.00     34.10    -10.90    6.56    213178.0
 2024 10 09 02 51 00 000   -4.77    -2.58    -4.62  -429.30     23.40     -9.00    5.71    178010.0
 2024 10 09 02 52 00 000   -5.11    -2.99    -3.43  -429.50     23.10     -9.00    5.69    177072.0
 2024 10 09 02 53 00 000   -5.21    -1.19    -4.24  -423.00     40.70    -17.80    6.56    237767.0
 2024 10 09 02 54 00 000   -4.92    -0.80    -4.61  -423.00     40.70    -17.80    6.56    237767.0
 2024 10 09 02 55 00 000   -4.62     0.57    -4.94  -416.40      9.50    -14.80    6.83    196001.0
 2024 10 09 02 56 00 000   -5.15     0.43    -4.90  -422.80     -1.40    -12.40    6.50    203839.0
 2024 10 09 02 57 00 000   -5.90    -0.81    -4.00  -427.80     -9.00    -10.70    6.24    210958.0
 2024 10 09 02 58 00 000   -5.76    -0.83    -4.32  -427.80     -9.00    -10.70    6.24    210958.0
 2024 10 09 02 59 00 000   -6.09    -0.47    -3.84  -427.80     -9.00    -10.70    6.24    210958.0
 2024 10 09 03 00 00 000   -5.10     0.14    -3.13  -417.10      1.90    -18.30    7.09    283425.0
 2024 10 09 03 01 00 000   -0.28     3.19    -3.78  -440.60     -4.60    -22.80    6.94    211304.0
 2024 10 09 03 02 00 000   -1.02     3.91    -4.19  -428.40     -1.00    -20.20    7.22    251324.0
 2024 10 09 03 03 00 000   -3.33     2.88    -5.30  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 04 00 000   -4.40     1.02    -5.90  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 05 00 000   -4.85    -0.88    -5.11  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 06 00 000   -5.08     1.70    -5.22  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 07 00 000   -5.90     1.90    -4.47  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 08 00 000   -6.61     2.01    -3.66  -438.60    -28.60     -8.10    6.29    191834.0
 2024 10 09 03 09 00 000   -6.73     1.12    -3.52  -408.80    -16.40    -14.30    6.12    177007.0
 2024 10 09 03 10 00 000   -6.16     0.36    -4.55  -408.80    -16.40    -14.30    6.12    177007.0
 2024 10 09 03 11 00 000   -5.71     2.70    -3.85  -419.90    -14.40    -17.70    7.02    231841.0
 2024 10 09 03 12 00 000   -3.83     2.40    -5.38  -419.00    -12.70    -20.30    7.11    240326.0
 2024 10 09 03 13 00 000   -4.62     1.78    -6.21  -429.70    -19.30    -15.30    6.21    199532.0
 2024 10 09 03 14 00 000   -4.04     1.97    -6.67  -431.70    -19.20    -12.50    6.17    194410.0
 2024 10 09 03 15 00 000   -3.07     1.71    -7.46  -432.50    -18.00    -10.10    6.23    193405.0
 2024 10 09 03 16 00 000   -5.62     2.11    -5.42  -432.50    -18.00    -10.10    6.23    193405.0
 2024 10 09 03 17 00 000   -5.16     3.18    -5.51  -422.50    -29.40     -5.70    6.69    192653.0
 2024 10 09 03 18 00 000   -3.39     3.66    -6.16  -425.60    -29.60     -8.80    6.81    213205.0
 2024 10 09 03 19 00 000   -1.18     3.27    -7.09  -430.60    -28.20    -10.90    6.84    226376.0
 2024 10 09 03 20 00 000   -1.07     2.78    -7.47  -444.00    -19.90     -8.80    6.46    207684.0
 2024 10 09 03 21 00 000   -1.56     2.92    -7.56  -446.00    -20.10     -9.80    6.10    123946.0
 2024 10 09 03 22 00 000   -2.63     3.10    -7.28  -446.30    -20.10     -9.90    6.05    112073.0
